id,place,weight_lbs,grower_name,city,state_prov,country,gpc_site,seed_mother,pollinator_father,ott,est_weight,pct_chart,variety,weight_kg,weight_class
2470-P,27,1394.507468516007,ICWCD,Nottingham,New York,Canada,Local Pumpkin Festival,1534 K,1756 C,405,1358,5,Marina di Chioggia,632.5374316591127,heavy
2445-P,8,1397.3604371333497,AZRMG,Houston,Florida,USA,Regional Pumpkin Festival,1567 E,1608 O,404,1400,5,Rouge Vif d'Etampes,633.8315154001904,heavy
2118-P,5,1395.459126980044,DSJFX,Chicago,Florida,USA,Local Pumpkin Festival,1229 W,1131 H,389,1258,13,Marina di Chioggia,632.9690963251321,heavy
2644-P,96,1395.8911216845736,IQPYM,Paris,California,Canada,National Pumpkin Festival,1959 N,1120 X,414,1484,-4,Marina di Chioggia,633.1650456671491,heavy
2903-P,51,1388.761638356559,ONFFM,Nottingham,Florida,USA,Regional Pumpkin Festival,1745 Z,1443 P,390,1260,14,Rouge Vif d'Etampes,629.9311690654283,heavy
2224-P,93,1386.4706015903505,JOUCJ,Houston,Florida,Canada,Regional Pumpkin Festival,1939 S,1773 P,403,1401,-2,Baby Bear,628.8919731165703,heavy
2303-P,44,1370.9507248532027,XEAMM,Paris,California,USA,National Pumpkin Festival,1285 T,1909 G,398,1309,8,Big Moose,621.8522811876139,heavy
2992-P,99,1375.7590629020706,ZWKTV,Houston,California,Canada,National Pumpkin Festival,1499 S,1884 S,392,1251,13,Baby Bear,624.033304859876,heavy
2819-P,50,1346.1222255555913,PHVGA,Houston,New York,USA,Local Pumpkin Festival,1593 R,1873 Y,391,1289,3,Baby Bear,610.5902725342117,heavy
2593-P,94,1354.248686873913,CQRHZ,Paris,New York,USA,Regional Pumpkin Festival,1851 P,1267 F,391,1300,9,Rouge Vif d'Etampes,614.2763703765119,heavy
2444-P,82,1341.064819744788,YTTWA,Los Angeles,Florida,USA,Local Pumpkin Festival,1625 Q,1256 S,403,1416,-1,Big Moose,608.2962737176779,heavy
2701-P,7,1330.886352906935,VWRPQ,Los Angeles,New York,USA,Regional Pumpkin Festival,1735 R,1846 J,393,1266,8,Rouge Vif d'Etampes,603.6794025877624,heavy
2331-P,47,1322.662662519142,ENTND,New York,New York,Canada,National Pumpkin Festival,1899 L,1238 I,395,1308,7,Baby Bear,599.9492024173827,heavy
2561-P,48,1327.767010530457,WHQOI,Los Angeles,Florida,Canada,Regional Pumpkin Festival,1398 P,1427 R,386,1223,13,Rouge Vif d'Etampes,602.264493840531,heavy
2132-P,63,1319.8696283716708,HXNQC,Chicago,Texas,Canada,Regional Pumpkin Festival,1931 S,1226 I,385,1261,6,Baby Bear,598.682304472363,heavy
2160-P,71,1316.2266587857157,XHMHT,New York,Texas,Canada,National Pumpkin Festival,1954 F,1594 A,393,1275,9,Baby Bear,597.0298826119304,heavy
2934-P,14,1309.5779179632664,KQYHQ,New York,Texas,USA,Regional Pumpkin Festival,1040 O,1671 P,390,1281,5,Baby Bear,594.0140669647939,heavy
2365-P,74,1325.268441114575,NUHRM,Paris,California,USA,Regional Pumpkin Festival,1115 G,1349 H,385,1274,4,Baby Bear,601.1311627420423,heavy
2112-P,32,1319.6114280456677,IQBXB,New York,Texas,USA,Local Pumpkin Festival,1814 R,1250 Q,382,1199,5,Baby Bear,598.5651868700905,heavy
2947-P,95,1297.4636821160093,IUJSF,New York,New York,Canada,National Pumpkin Festival,1135 P,1997 V,377,1128,17,Rouge Vif d'Etampes,588.5191464983649,heavy
2364-P,32,1287.5528854560107,RYEJR,Houston,Florida,Canada,National Pumpkin Festival,1591 F,1362 Y,394,1329,-2,Rouge Vif d'Etampes,584.0236884197628,heavy
2793-P,21,1280.1130516482517,HUXDH,New York,Texas,Canada,Local Pumpkin Festival,1542 F,1773 Y,387,1269,3,Baby Bear,580.6490393232338,heavy
2552-P,80,1274.62070601061,HJIDE,Paris,Florida,Canada,Regional Pumpkin Festival,1454 J,1975 Y,397,1292,-4,Marina di Chioggia,578.1577552807646,heavy
2226-P,75,1272.2737243063748,VUZTH,Paris,New York,Canada,Local Pumpkin Festival,1754 L,1130 P,380,1211,7,Big Moose,577.0931831555771,heavy
2803-P,49,1273.36027535256,TJTOP,Nottingham,New York,Canada,Local Pumpkin Festival,1720 R,1827 Y,380,1233,6,Rouge Vif d'Etampes,577.5860340177184,heavy
2587-P,42,1262.1420872267336,MQFWB,Houston,California,USA,Regional Pumpkin Festival,1786 K,1981 T,372,1097,13,Marina di Chioggia,572.4975536293485,heavy
2392-P,28,1253.090375890024,AHPJA,Paris,New York,USA,Local Pumpkin Festival,1347 G,1132 Z,373,1160,9,Rouge Vif d'Etampes,568.3917697807078,heavy
2126-P,63,1252.5989382406697,CXHLF,New York,California,Canada,Local Pumpkin Festival,1552 K,1456 C,376,1141,13,Big Moose,568.1688575944619,heavy
2881-P,25,1250.4854619722814,IDSGX,New York,California,Canada,Regional Pumpkin Festival,1361 O,1679 L,398,1330,-2,Big Moose,567.2102016669311,heavy
2191-P,88,1230.139703518711,IUVMD,Nottingham,Texas,USA,National Pumpkin Festival,1907 P,1086 B,380,1199,3,Marina di Chioggia,557.9815283984592,heavy
2609-P,83,1236.5908432835713,OSXVI,Houston,Florida,USA,Local Pumpkin Festival,1335 Z,1300 W,373,1136,9,Baby Bear,560.9077137866817,heavy
2269-P,99,1228.6888741385192,TQOGK,New York,New York,Canada,National Pumpkin Festival,1726 E,1534 X,373,1159,9,Baby Bear,557.3234437982392,heavy
2045-P,100,1223.8555890042337,QOAHW,New York,California,USA,National Pumpkin Festival,1191 D,1488 Z,376,1183,1,Marina di Chioggia,555.1311043276083,heavy
2034-P,27,1214.6581116085872,UGDXC,New York,California,Canada,National Pumpkin Festival,1973 O,1661 Z,391,1273,-4,Big Moose,550.9592021607623,heavy
2358-P,30,1208.4828800437972,PUHNV,New York,California,USA,Regional Pumpkin Festival,1845 S,1897 Y,364,1095,6,Baby Bear,548.158166524826,heavy
2003-P,66,1203.819806127809,DITSF,Chicago,Florida,Canada,Regional Pumpkin Festival,1716 W,1646 P,376,1153,1,Big Moose,546.0430335011251,heavy
2009-P,46,1216.5181524679065,FPJAU,Los Angeles,Texas,Canada,Regional Pumpkin Festival,1042 P,1634 K,369,1140,6,Big Moose,551.8029018142227,heavy
2094-P,76,1205.8909804159775,WBHUV,Chicago,New York,Canada,Local Pumpkin Festival,1308 K,1727 E,386,1249,-1,Big Moose,546.9825015888441,heavy
2089-P,70,1200.3897492839023,OCGKJ,Paris,Texas,USA,Regional Pumpkin Festival,1508 J,1757 V,401,1363,-17,Big Moose,544.4871871571838,heavy
2371-P,85,1196.0248245112598,LHHNR,Los Angeles,Florida,USA,Regional Pumpkin Festival,1627 Z,1075 R,371,1109,9,Big Moose,542.5072921997114,heavy
2609-P,38,1182.9766803514212,YSLYG,Nottingham,California,Canada,National Pumpkin Festival,1255 T,1295 N,384,1255,-6,Big Moose,536.5887583939618,heavy
2633-P,44,1179.1080796979368,UMZOZ,Houston,California,USA,National Pumpkin Festival,1468 S,1004 A,382,1174,-4,Big Moose,534.8339920863465,heavy
2513-P,28,1173.5674910908565,UWDEA,New York,Florida,Canada,Regional Pumpkin Festival,1222 F,1630 N,396,1328,-11,Baby Bear,532.3208254188838,heavy
2908-P,46,1178.0816773474216,TALLK,Chicago,Florida,Canada,Local Pumpkin Festival,1278 X,1015 T,367,1114,3,Rouge Vif d'Etampes,534.3684241913717,heavy
2174-P,15,1160.6341668115929,MSWKC,Los Angeles,New York,Canada,National Pumpkin Festival,1685 O,1658 I,366,1040,14,Big Moose,526.454372992404,heavy
2112-P,21,1161.4283837340772,RIVSF,Nottingham,California,USA,Regional Pumpkin Festival,1545 G,1743 K,380,1163,4,Marina di Chioggia,526.8146234347075,heavy
2875-P,31,1122.0827133813873,QMOXW,Los Angeles,California,Canada,Local Pumpkin Festival,1947 J,1861 F,378,1159,1,Marina di Chioggia,508.9677421280902,heavy
2687-P,14,1123.1808977071196,MTIOO,Chicago,Texas,Canada,National Pumpkin Festival,1531 L,1129 N,376,1126,2,Baby Bear,509.4658697527678,heavy
2563-P,65,1135.4177534533665,NZHCN,Nottingham,Florida,USA,National Pumpkin Festival,1148 G,1170 X,388,1275,-13,Baby Bear,515.0164096244193,heavy
2349-P,7,1132.0742549849674,EBOPJ,Chicago,Florida,Canada,Regional Pumpkin Festival,1351 A,1222 H,372,1110,-3,Big Moose,513.4998254671414,heavy
2079-P,63,1130.291144776158,LUOYU,Paris,Texas,USA,Local Pumpkin Festival,1639 Q,1457 L,382,1176,-1,Marina di Chioggia,512.6910209413071,heavy
2556-P,50,1106.233795871958,KZOTA,New York,California,USA,Local Pumpkin Festival,1870 J,1346 F,369,1054,10,Baby Bear,501.7787999371531,heavy
2899-P,99,1111.4263628982008,TVKCJ,Houston,California,USA,Regional Pumpkin Festival,1789 Y,1448 U,365,1093,0,Baby Bear,504.13410679972066,heavy
2896-P,49,1109.4359679529443,WQRQH,Paris,New York,Canada,Regional Pumpkin Festival,1067 K,1541 A,360,1034,9,Baby Bear,503.23127957571194,heavy
2001-P,51,1109.539451637305,EHSPW,Nottingham,Florida,USA,Local Pumpkin Festival,1333 M,1003 O,384,1196,-7,Rouge Vif d'Etampes,503.27821894706847,heavy
2841-P,60,1093.8593622408807,QSBHZ,Chicago,Florida,USA,Local Pumpkin Festival,1543 S,1076 Z,369,1093,0,Big Moose,496.1658558375656,heavy
2810-P,35,1106.6308509606868,PIETF,Nottingham,New York,USA,Local Pumpkin Festival,1702 L,1516 L,365,1086,6,Marina di Chioggia,501.9589009489598,heavy
2621-P,4,1105.472899175249,LWYMI,New York,New York,Canada,National Pumpkin Festival,1552 X,1389 D,369,1137,-8,Big Moose,501.43366328269957,heavy
2935-P,92,1101.8055449454114,BZBVN,Houston,California,USA,Regional Pumpkin Festival,1135 V,1220 V,368,1066,7,Rouge Vif d'Etampes,499.77018074287906,heavy
2796-P,5,1087.4611390011385,GXOLG,Houston,Florida,USA,National Pumpkin Festival,1313 X,1191 S,357,988,11,Marina di Chioggia,493.2636729618044,heavy
2430-P,32,1094.7208902604875,MUAJW,Nottingham,Florida,Canada,National Pumpkin Festival,1593 U,1320 A,370,1133,0,Marina di Chioggia,496.556638055035,heavy
2740-P,22,1078.4245903734118,LSVGE,Nottingham,New York,USA,Regional Pumpkin Festival,1373 N,1196 M,376,1166,-9,Rouge Vif d'Etampes,489.1647667966566,heavy
2396-P,21,1074.2290756804869,VZPPF,New York,Texas,Canada,Local Pumpkin Festival,1424 Z,1741 G,356,978,12,Rouge Vif d'Etampes,487.2617148960634,heavy
2427-P,47,1086.114844340831,LJWRU,Nottingham,California,Canada,Local Pumpkin Festival,1618 L,1398 N,371,1078,1,Marina di Chioggia,492.65300447424625,heavy
2266-P,90,1080.144554379396,KFNHB,New York,New York,USA,National Pumpkin Festival,1767 R,1837 W,350,934,15,Marina di Chioggia,489.94492871005895,heavy
2041-P,41,1084.941833565943,QEAMD,Paris,New York,Canada,Regional Pumpkin Festival,1381 J,1772 C,345,881,17,Baby Bear,492.1209361708432,heavy
2597-P,10,1080.670620300807,JFBQL,Nottingham,New York,USA,Local Pumpkin Festival,1256 F,1323 A,357,992,7,Rouge Vif d'Etampes,490.1835480034837,heavy
2128-P,63,1069.6409683292732,ZCUTY,Chicago,Florida,Canada,Regional Pumpkin Festival,1436 A,1166 E,390,1261,-17,Big Moose,485.1805861064117,heavy
2915-P,92,1064.2079909384252,EGCHT,Nottingham,Florida,Canada,Local Pumpkin Festival,1545 E,1045 R,2,-5,2,Baby Bear,482.71623102574216,heavy
2355-P,97,1072.1066005816683,ENPOS,Nottingham,Texas,USA,Regional Pumpkin Festival,1353 K,1289 I,383,1186,-9,Baby Bear,486.29897717104006,heavy
2155-P,72,1068.0911599472165,XHAQI,New York,Florida,USA,National Pumpkin Festival,1975 C,1308 N,356,979,12,Baby Bear,484.4776054227778,heavy
2995-P,23,1064.2583986744285,LRORM,Nottingham,California,USA,National Pumpkin Festival,1920 S,1840 J,-3,4,0,Big Moose,482.7390955715313,heavy
2579-P,74,1071.471236805245,TYBZR,Houston,California,Canada,National Pumpkin Festival,1130 F,1125 L,375,1172,-8,Big Moose,486.01078124496473,heavy
2248-P,4,1048.7804951500148,YGZYE,Houston,Florida,Canada,Local Pumpkin Festival,1498 G,1919 F,343,933,13,Marina di Chioggia,475.71844235608546,heavy
2438-P,6,1054.7465274883434,IJMQE,Los Angeles,California,USA,Local Pumpkin Festival,1846 X,1195 B,368,1128,-11,Big Moose,478.42458689649266,heavy
2926-P,31,1049.888278315775,CQMKQ,Chicago,Florida,USA,Regional Pumpkin Festival,1170 X,1811 O,350,983,10,Baby Bear,476.22092393780906,heavy
2154-P,81,1059.472614824772,IMSKI,Los Angeles,California,USA,Local Pumpkin Festival,1366 Z,1158 Z,372,1120,-2,Marina di Chioggia,480.56830230359805,heavy
2616-P,31,1033.1747340625152,BNSJX,Nottingham,California,USA,Regional Pumpkin Festival,1258 A,1409 G,-4,-5,-4,Big Moose,468.6397939728844,heavy
2248-P,94,1033.5313243735582,DFWHT,Houston,New York,Canada,Regional Pumpkin Festival,1828 R,1661 Q,344,904,10,Baby Bear,468.801540485251,heavy
2504-P,50,1042.2376110838727,WIALN,Paris,Florida,USA,Local Pumpkin Festival,1731 T,1003 L,361,1022,1,Big Moose,472.75064248675596,heavy
2680-P,75,1035.132370099425,LSFZR,Nottingham,Texas,USA,Local Pumpkin Festival,1030 M,1185 J,371,1150,-6,Baby Bear,469.52776201813845,heavy
2620-P,57,1040.5032950127495,GGBQT,Chicago,New York,Canada,Local Pumpkin Festival,1908 F,1095 J,358,1038,0,Marina di Chioggia,471.96397059142305,heavy
2784-P,78,1027.3974995063618,TTHDW,Houston,New York,USA,Regional Pumpkin Festival,1131 T,1489 T,354,987,7,Marina di Chioggia,466.01928659608967,heavy
2042-P,76,1045.3252719445154,GSFOB,Houston,New York,Canada,National Pumpkin Festival,1837 S,1045 H,368,1124,-9,Rouge Vif d'Etampes,474.1511807518566,heavy
2120-P,65,1035.3138233562931,NHULI,New York,Texas,USA,Regional Pumpkin Festival,1621 X,1730 G,354,950,9,Baby Bear,469.6100677638277,heavy
2090-P,2,1031.969352485612,LLOBX,New York,California,USA,National Pumpkin Festival,1571 P,1755 T,358,983,-1,Marina di Chioggia,468.0930425326537,heavy
2832-P,40,1010.2923707086592,MIQHC,New York,New York,Canada,National Pumpkin Festival,1285 Y,1053 V,357,971,10,Big Moose,458.2605370144821,heavy
2611-P,18,1020.7103353627026,XDPQG,Los Angeles,New York,USA,National Pumpkin Festival,1818 V,1028 B,369,1117,-9,Big Moose,462.986042437839,heavy
2429-P,37,1012.9326643124224,UMAVI,Chicago,California,USA,National Pumpkin Festival,1257 U,1028 Z,359,982,8,Rouge Vif d'Etampes,459.4581530708003,heavy
2168-P,59,1019.7019060555846,BGWTK,Houston,Texas,USA,Local Pumpkin Festival,1655 S,1900 U,356,1019,4,Marina di Chioggia,462.52862697156473,heavy
2922-P,48,1007.23840094544,DBYGG,New York,California,USA,Regional Pumpkin Festival,1732 H,1891 U,343,932,2,Baby Bear,456.87528076164404,heavy
2669-P,13,993.4797908337788,UYTYZ,Chicago,California,USA,Local Pumpkin Festival,1825 W,1833 Y,358,1028,1,Rouge Vif d'Etampes,450.6344852838754,medium
2700-P,62,992.9783684788272,ZJATW,Nottingham,New York,USA,Regional Pumpkin Festival,1742 X,1424 H,370,1110,-13,Baby Bear,450.40704411504817,medium
2182-P,28,999.1453222567216,PFHKV,Houston,California,USA,Local Pumpkin Festival,1631 U,1832 C,3,-5,-4,Rouge Vif d'Etampes,453.20432501307084,medium
2342-P,36,985.5432457821444,VORBU,New York,California,Canada,Local Pumpkin Festival,1844 B,1802 V,-3,-4,-4,Rouge Vif d'Etampes,447.0345319408144,medium
2543-P,11,984.1451407503336,DMASX,Nottingham,Texas,Canada,Local Pumpkin Festival,1307 B,1613 Y,345,949,5,Rouge Vif d'Etampes,446.4003626832253,medium
2222-P,55,983.42312526796,OZCSA,Chicago,Florida,Canada,Regional Pumpkin Festival,1969 G,1172 J,360,1007,-1,Big Moose,446.0728622365445,medium
2900-P,93,987.7664571590722,CDQXW,Chicago,California,USA,National Pumpkin Festival,1849 X,1526 T,349,944,4,Marina di Chioggia,448.04296283569784,medium
2251-P,47,979.0316472360864,MCIUZ,New York,New York,USA,Local Pumpkin Festival,1289 Q,1937 X,343,932,6,Marina di Chioggia,444.0809229331109,medium
2640-P,68,967.91973224245,ZMIIK,Houston,Texas,USA,National Pumpkin Festival,1481 T,1289 F,344,940,3,Marina di Chioggia,439.04064718731735,medium
2918-P,96,973.9652603752912,JIBVD,Nottingham,California,USA,Local Pumpkin Festival,1795 T,1867 B,351,929,6,Baby Bear,441.78285038414907,medium
2516-P,40,967.809234687686,WPHMX,Houston,Florida,Canada,Local Pumpkin Festival,1093 G,1056 J,355,947,3,Marina di Chioggia,438.99052638045686,medium
2738-P,49,965.2324516968802,ZLAKT,Chicago,California,USA,Regional Pumpkin Festival,1106 C,1141 U,365,1028,-2,Big Moose,437.8217182300913,medium
2298-P,60,967.6179982181638,KSFIV,New York,Texas,USA,Regional Pumpkin Festival,1115 K,1128 D,349,912,11,Baby Bear,438.90378304777335,medium
2319-P,33,961.3425082964824,JFWQA,New York,Florida,Canada,Regional Pumpkin Festival,1098 Z,1394 T,341,910,9,Baby Bear,436.05727102321805,medium
2520-P,17,958.793456965126,WYXNT,New York,California,Canada,Regional Pumpkin Festival,1069 Y,1917 Q,356,998,-7,Big Moose,434.9010417317254,medium
2804-P,90,952.5787103129552,NBOWC,Paris,Texas,Canada,National Pumpkin Festival,1481 N,1389 Y,362,1048,-7,Big Moose,432.082082368274,medium
2740-P,85,941.0213671447708,QKTMU,Chicago,Florida,USA,National Pumpkin Festival,1365 H,1243 Q,353,957,0,Big Moose,426.8397639659309,medium
2888-P,16,942.8455223767088,EZDGW,New York,Texas,Canada,Regional Pumpkin Festival,1612 A,1326 C,340,839,12,Baby Bear,427.66718618589607,medium
2177-P,95,917.3157337764278,CFOFT,Nottingham,New York,Canada,Regional Pumpkin Festival,1349 J,1878 Z,345,902,-2,Big Moose,416.0870783151174,medium
2694-P,41,928.4407491264864,CQIIY,Nottingham,Florida,USA,Regional Pumpkin Festival,1823 F,1728 R,338,850,11,Rouge Vif d'Etampes,421.1332962777812,medium
2166-P,77,900.391699058935,ATPUV,Paris,New York,USA,Regional Pumpkin Festival,1962 J,1166 Z,342,894,2,Baby Bear,408.41047155954044,medium
2067-P,20,912.4426033673808,HQMID,New York,California,Canada,Regional Pumpkin Festival,1869 H,1405 Z,353,950,-4,Marina di Chioggia,413.87666534661696,medium
2869-P,3,906.4102506972848,QFAZD,Houston,California,Canada,National Pumpkin Festival,1410 C,1220 U,354,1009,-9,Baby Bear,411.1404384342828,medium
2028-P,28,897.586965355277,PJJJB,Los Angeles,California,Canada,Regional Pumpkin Festival,1617 S,1380 T,346,882,7,Baby Bear,407.1382667894308,medium
2048-P,15,897.0476891994476,ETGYC,Chicago,New York,Canada,Regional Pumpkin Festival,1077 W,1091 D,344,920,-3,Big Moose,406.8936554393558,medium
2058-P,78,903.361859277822,JSAMA,Los Angeles,Florida,USA,Regional Pumpkin Festival,1170 Y,1986 A,349,903,-2,Baby Bear,409.75771247354584,medium
2014-P,100,879.7471340401098,WPQEW,Nottingham,California,USA,National Pumpkin Festival,1125 Y,1054 G,344,910,-4,Baby Bear,399.0462620235215,medium
2033-P,37,890.6214485891163,AOJFR,Houston,Texas,USA,National Pumpkin Festival,1144 P,1534 U,356,1006,-8,Baby Bear,403.97876410843446,medium
2500-P,95,889.7039247211069,ZSNKT,Los Angeles,New York,Canada,Local Pumpkin Festival,1716 F,1016 W,344,931,-10,Marina di Chioggia,403.56258262209633,medium
2570-P,23,887.1866978406906,UYHGL,Chicago,New York,Canada,Regional Pumpkin Festival,1280 G,1462 X,340,887,-1,Baby Bear,402.4207886469545,medium
2330-P,45,890.8783656163141,EJFBM,Nottingham,Florida,USA,Local Pumpkin Festival,1211 J,1542 S,347,897,-4,Rouge Vif d'Etampes,404.09529961663515,medium
2265-P,47,877.4599304217845,RKWHK,Houston,New York,Canada,National Pumpkin Festival,1868 S,1433 K,344,884,0,Baby Bear,398.0088047598781,medium
2429-P,74,879.8589741162956,QLICQ,Chicago,New York,USA,Regional Pumpkin Festival,1944 B,1806 V,361,1011,-9,Big Moose,399.0969917873588,medium
2757-P,85,883.7926521487534,RRZVG,Chicago,California,USA,Local Pumpkin Festival,1425 E,1070 J,340,868,6,Baby Bear,400.88127667345736,medium
2689-P,78,881.7800885261968,AWXJX,Houston,Florida,Canada,National Pumpkin Festival,1667 B,1789 M,348,941,-1,Big Moose,399.96839391477465,medium
2057-P,20,870.3353397326543,VAGJO,Los Angeles,New York,Canada,Local Pumpkin Festival,1704 N,1803 K,347,960,-11,Marina di Chioggia,394.77714742001416,medium
2853-P,62,872.2357745921239,QYPKY,Houston,California,USA,National Pumpkin Festival,1710 T,1459 O,350,926,-5,Marina di Chioggia,395.63916946879067,medium
2814-P,82,867.9966073231772,OGNEW,New York,California,USA,Regional Pumpkin Festival,1309 G,1007 K,342,912,-6,Big Moose,393.71631710893456,medium
2910-P,70,875.2201279774308,GTNAO,Nottingham,Florida,Canada,Regional Pumpkin Festival,1676 W,1753 H,346,954,-11,Marina di Chioggia,396.9928482895388,medium
2039-P,45,870.6042832350358,QPJYB,Los Angeles,New York,USA,Regional Pumpkin Festival,1092 Z,1237 Z,345,936,-5,Big Moose,394.8991380411464,medium
2937-P,71,860.8203131342307,TVQKX,Los Angeles,New York,USA,Local Pumpkin Festival,1628 X,1010 S,343,910,-8,Marina di Chioggia,390.46120747518194,medium
2442-P,98,866.8273900114,YLFOT,New York,New York,Canada,Local Pumpkin Festival,1179 U,1144 O,339,869,-5,Marina di Chioggia,393.1859694900509,medium
2048-P,72,865.1862238230184,WNJSJ,Los Angeles,New York,Canada,Local Pumpkin Festival,1584 S,1868 G,339,908,-6,Baby Bear,392.44154963633054,medium
2002-P,17,848.0984225664288,JNTDX,Nottingham,Texas,Canada,Local Pumpkin Festival,1632 Y,1431 L,340,903,-9,Baby Bear,384.69065968875157,medium
2663-P,45,850.5521607976407,EHQCH,Houston,Florida,USA,Local Pumpkin Festival,1029 W,1336 I,329,812,1,Baby Bear,385.8036557205234,medium
2540-P,66,844.6511123087257,TPHIG,Paris,California,USA,Regional Pumpkin Festival,1098 B,1008 O,325,763,16,Baby Bear,383.1269873343395,medium
2723-P,40,854.6458332236856,SXXWZ,Paris,California,Canada,National Pumpkin Festival,1744 C,1272 Z,331,830,7,Rouge Vif d'Etampes,387.660512783598,medium
2662-P,82,839.7225990602747,TITNX,Chicago,Florida,USA,Regional Pumpkin Festival,1901 P,1021 T,334,833,4,Rouge Vif d'Etampes,380.8914531529481,medium
2771-P,44,851.9999102531001,LVUTL,Chicago,Florida,Canada,Regional Pumpkin Festival,1912 B,1617 T,345,900,-3,Rouge Vif d'Etampes,386.46034329152417,medium
2513-P,18,842.6491350280121,RZXCW,Nottingham,New York,USA,Local Pumpkin Festival,1380 X,1936 T,327,788,12,Marina di Chioggia,382.21890645562604,medium
2907-P,90,833.1900447942317,QXLBD,Chicago,Texas,USA,Regional Pumpkin Festival,1188 X,1201 B,342,902,-11,Big Moose,377.9283387983051,medium
2247-P,89,846.0430998839438,HUSLD,Los Angeles,New York,USA,Local Pumpkin Festival,1430 Y,1979 Y,331,828,2,Marina di Chioggia,383.7583817625578,medium
